高於閾值？,人均 GDP,出生率資料桶,預期壽命,Co2 排放量,GDP,記錄數,人口 0-14,人口 15-64,人口 65+,人口總數,人均 GDP(資料桶),人均醫療費用,入境旅遊,出境旅遊,出生率,區域,經商便利度(叢集),國家/地區,城市人口,女性預期壽命,年份,新生兒死亡率,營業稅稅率,男性預期壽命,經商便利度,網際網路使用率,能源使用,行動電話使用率,貸款利率,辦稅小時數,醫療費用 % Gdp,開業天數
低於閾值,"$1,727",1.5-3%,69,87931,$55B,1,0.342,0.619,0.039,31.7M,$0,$60,$0B,$0B,2.0%,非洲,低,Algeria,59.9%,71,2000/12/1,0.034,,67,,1%,26998,0%,0.1,,3.5%,
低於閾值,$656,高於 3%,46,9542,$9B,1,0.476,0.499,0.025,13.9M,$0,$22,$0B,$0B,5.0%,非洲,低,Angola,32.4%,47,2000/12/1,0.128,,44,,0%,7499,0%,1.032,,3.4%,
低於閾值,$339,高於 3%,55,1617,$2B,1,0.454,0.517,0.029,6.9M,$0,$15,$0B,$0B,4.3%,非洲,低,Benin,38.3%,57,2000/12/1,0.09,,53,,0%,1983,1%,,,4.3%,
低於閾值,"$3,297",1.5-3%,51,4276,$6B,1,0.383,0.587,0.029,1.8M,$0,$152,$0B,$0B,2.7%,非洲,友好,Botswana,53.2%,52,2000/12/1,0.054,,49,,3%,1836,13%,0.155,,4.7%,
低於閾值,$225,高於 3%,51,1041,$3B,1,0.468,0.505,0.028,11.6M,$0,$12,$0B,$0B,4.6%,非洲,低,Burkina Faso,17.8%,52,2000/12/1,0.096,,49,,0%,,0%,,,5.1%,
低於閾值,$130,高於 3%,48,301,$1B,1,0.49,0.481,0.029,6.7M,$0,$7,$0B,$0B,4.2%,非洲,低,Burundi,8.2%,49,2000/12/1,0.092,,47,,0%,,0%,0.158,,6.3%,
低於閾值,$583,高於 3%,52,3432,$9B,1,0.453,0.513,0.034,15.9M,$0,$26,$0B,$0B,4.1%,非洲,低,Cameroon,45.5%,53,2000/12/1,0.093,,51,,0%,6310,1%,0.22,,4.4%,
低於閾值,$251,高於 3%,44,268,$1B,1,0.423,0.537,0.04,3.6M,$0,$11,$0B,$0B,3.9%,非洲,低,Central African Republic,37.6%,45,2000/12/1,0.113,,42,,0%,,0%,0.22,,4.3%,
低於閾值,$167,高於 3%,47,176,$1B,1,0.49,0.482,0.028,8.3M,$0,$10,$0B,$0B,5.1%,非洲,低,Chad,21.6%,48,2000/12/1,0.106,,46,,0%,,0%,0.22,,6.3%,
低於閾值,$382,高於 3%,58,84,$0B,1,0.415,0.554,0.031,0.5M,$0,$13,$0B,,3.9%,非洲,低,Comoros,28.1%,59,2000/12/1,0.073,,56,,0%,,,0.12,,3.5%,
低於閾值,$407,高於 3%,47,1646,$19B,1,0.464,0.507,0.028,46.9M,$0,$14,,,4.8%,非洲,低,Congo (Kinshasa),35.1%,48,2000/12/1,0.115,,45,,0%,16679,0%,,,4.8%,
低於閾值,"$1,030",高於 3%,52,1049,$3B,1,0.419,0.545,0.036,3.1M,$0,$22,$0B,$0B,3.9%,非洲,低,Congo (Brazzaville),58.7%,53,2000/12/1,0.077,,51,,0%,814,2%,0.22,,2.1%,
低於閾值,$646,高於 3%,47,6791,$10B,1,0.421,0.55,0.029,16.1M,$0,$42,$0B,$0B,3.8%,非洲,低,Cote d'Ivoire,43.5%,47,2000/12/1,0.1,,46,,0%,6734,3%,,,6.5%,
低於閾值,$763,高於 3%,57,403,$1B,1,0.414,0.556,0.03,0.7M,$0,$44,$0B,$0B,3.0%,非洲,低,Djibouti,76.5%,59,2000/12/1,0.08,,55,,0%,,0%,,,5.8%,
低於閾值,"$1,510",1.5-3%,69,141326,$100B,1,0.354,0.592,0.053,66.1M,$0,$79,$5B,$1B,2.5%,非洲,中等,Egypt,42.8%,71,2000/12/1,0.036,,66,,1%,40658,2%,0.132,,5.4%,
低於閾值,"$2,019",高於 3%,48,455,$1B,1,0.426,0.537,0.037,0.5M,$0,$57,$0B,$0B,4.0%,非洲,低,Equatorial Guinea,38.8%,49,2000/12/1,0.099,,46,,0%,,1%,0.22,,2.4%,
低於閾值,$179,高於 3%,56,609,$1B,1,0.47,0.512,0.018,3.9M,$0,$7,$0B,,4.0%,非洲,低,Eritrea,17.6%,58,2000/12/1,0.058,,54,,0%,708,,,,4.5%,
低於閾值,$123,高於 3%,52,5831,$8B,1,0.466,0.503,0.031,66.0M,$0,$5,$0B,$0B,4.4%,非洲,中等,Ethiopia,14.7%,53,2000/12/1,0.09,,51,,0%,25242,0%,0.109,,4.3%,
低於閾值,"$4,135",高於 3%,60,1052,$5B,1,0.406,0.535,0.059,1.2M,$0,$118,$0B,$0B,3.4%,非洲,低,Gabon,80.1%,61,2000/12/1,0.056,,59,,1%,1463,10%,0.22,,2.9%,
低於閾值,$637,高於 3%,55,275,$1B,1,0.459,0.514,0.027,1.2M,$0,$29,,,4.5%,非洲,低,"Gambia, The",47.9%,56,2000/12/1,0.063,,54,,1%,,1%,0.24,,4.5%,
低於閾值,$265,高於 3%,57,6289,$5B,1,0.414,0.556,0.03,18.8M,$0,$13,$0B,$0B,3.5%,非洲,友好,Ghana,43.9%,58,2000/12/1,0.065,,56,,0%,7736,1%,,,4.8%,
低於閾值,$342,高於 3%,51,1280,$3B,1,0.44,0.525,0.034,8.7M,$0,$19,$0B,$0B,4.2%,非洲,低,Guinea,31.0%,51,2000/12/1,0.103,,51,,0%,,1%,0.194,,5.6%,
低於閾值,$284,高於 3%,52,147,$0B,1,0.435,0.534,0.031,1.3M,$0,$16,,,4.2%,非洲,低,Guinea-Bissau,36.7%,53,2000/12/1,0.109,,50,,0%,,,,,4.9%,
低於閾值,$406,高於 3%,53,10418,$13B,1,0.442,0.531,0.028,31.3M,$0,$19,$1B,$0B,3.9%,非洲,中等,Kenya,19.9%,54,2000/12/1,0.069,,52,,0%,14055,0%,0.223,,4.7%,
低於閾值,$415,高於 3%,48,,$1B,1,0.412,0.543,0.045,1.9M,$0,$29,$0B,$0B,3.1%,非洲,中等,Lesotho,19.5%,48,2000/12/1,0.081,,47,,0%,,1%,0.171,,6.9%,
低於閾值,$183,高於 3%,53,436,$1B,1,0.432,0.537,0.031,2.9M,$0,$11,,,4.3%,非洲,低,Liberia,44.3%,53,2000/12/1,0.119,,52,,0%,,0%,0.205,,5.9%,
低於閾值,"$6,549",1.5-3%,72,47114,$34B,1,0.333,0.628,0.039,5.2M,"$4,688",$252,$0B,$0B,2.2%,非洲,低,Libya,76.3%,74,2000/12/1,0.024,,70,,0%,15901,1%,0.07,,3.4%,
低於閾值,$246,高於 3%,59,1874,$4B,1,0.455,0.515,0.03,15.7M,$0,$12,$0B,$0B,4.1%,非洲,中等,Madagascar,27.1%,60,2000/12/1,0.071,,57,,0%,,0%,0.265,,5.0%,
